Startup Name,Impact Statement,Description,Website,Primary SDG,Additional SDGs,Type of Innovation,Target(s),Indicator(s),Direct / Indirect Impact,Industry,Focus Area,Business Model,Customer,Location of Impact,Circular Value Chain,Maturity (new),Funded,Funding Round,Funding amount ($),Funding category,Last funding date,Country Cat. / Market,Country,City,Founded,Employees,Logo,Deadpooled,Investor,No Tracxn,Orange?,Source,Complete,Checked,Relevance,To Include,Hero,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,Logo,Seeking funding,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
10Power,To provide project development and finance for renewable energy storage.,10Power provides project development and finance for renewable energy storage and generation in communities that lack access to electricity promoting clean water gender equality and ecosystem restoration. In Haiti 10Power has installed solar on water purification facilities providing drinking water to families and schools in surrounding communities each supporting over 300 micro enterprises (majority women owned). 10Power is currently executing on a $150M pipeline of high impact commercial and industrial solar projects in Haiti with international expansion plans. 10Power is decoupling GHG emissions from growth in emerging markets applying renewable energy and cutting edge technology to create quantum development for regenerative growth.,http://10pwr.com/,SDG 7: Affordable and Clean Energy,,7.1 Energy Access Solutions,,,,,,,,United States of America,Unknown,Emerging,,,,N/A,,High income,USA,,2015,6,,,,,,ImpactSpace,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
1Efficiency,Energy management suite,"1Efficiency offers an integrated suite of customer applications that includes a web based energy dashboard, a set of energy management reports available from the dashboard and email, alerts that can be delivered via email or mobile devices. Its energy management suite includes ENERGY INSIGHT™ - for property managers to monitor and control electricity, water and gas consumption, ENERGY REPORTS™ - energy management reports that are available via dashboard, PEAK DEMAND ALERTS™ - email or text based alerts, ENERGY SAVING CONCIERGE™ - savings engine to analyze potential savings for customers.",1efficiency.com,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,United States of America,Go-to-market,Emerging,,,,N/A,,High income,USA,,2012,1,,,,,,Tracxn,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
1mpact Revolution,"Powering Helpfreely.org & Amazing Tech Tools for Nonprofit & For-profit Organizations, Envisioning Social, Environmental & Cultural Change",,http://www.1mpactrevolution.com/,SDG 13: Climate Action,,n/a,,,Direct,media;marketing,,,,,,Nascent,Yes,Seed,"1,539,171",,Apr/2018,,Spain,,2015,2,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
21CC Education,21CC Recruitment & Training - Careers & Learning in Logistics,"21CC's offers courses for mid and higher level people in the transportation and logistics industry on topics like air, ocean and road transportation.",21cceducation.com,SDG 9: Industry Innovation and Infrastructure,,9.1 Innovative Logistics,,,,,,,,Netherlands/India/USA/Thailand,Growth,Nascent,No,Unfunded,Not Applicable,N/A,,High income,Netherlands,,2008,17,,,,,,Dutch Database,TRUE,FALSE,,FALSE,FALSE,,1,0,0.5,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
24SEA,Offshore monitoring and engineering service provider,"24SEA provides a suite of solutions for monitoring and engineering services in the offshore wind industry. Offers testing, inspection services and develops short & long-term energy and health monitoring systems for offshore turbine structures. With a core expertise in data analysis, offers solutions for structural dynamics, signal processing, system identification, and health monitoring using data mining techniques. Also, involved in the commissioning and decommissioning of the offshore turbine structures.",24sea.eu,SDG 7: Affordable and Clean Energy,,7.1 Energy Access Solutions,,,,,,,,Belgium,Go-to-market,Emerging,,,,N/A,,High income,Belgium,,2011,6,,,,,,Tracxn,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
3B Ventures,Provider of AI consulting and data analytics services,3B Ventures is an early stage impact fund investing in exponential technology that will impact the lives of the next 3 billion. 3B funds entrepreneurs that have the passion to create a market disrupting innovation for the emerging world whilst making a noticeable difference in one of the Sustainable Development Goals.,https://3bvc.com,SDG 9: Industry Innovation and Infrastructure,,9.4 Data-based SME financing for developing markets,,,,,,,,Denmark,Prototype,Nascent,No,Unfunded,Not Applicable,N/A,,High income,Malaysia,,2017,2,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
3d hubs,creating access to 3d printers through sharing,"3d printing is changing how products around the world are made. by connecting potential users to local 3d printer owners, 3d hubs’ sharing-based business model is accelerating a future of local, on-demand production. 3d printers can cost from $600 for basic units to more than $100,000 for higher-spec models , and they will often be under-utilised. to maximise usage and improve access for all, 3d hubs have created an online service that connects 3d printer owners with potential users. users upload a design, choose a nearby 3d printing location, pay for the service and pick up their product when it is finished printing. the company offers two-day delivery for products, which is five times faster than the industry standard, according to the company. the network currently boasts over 7,000 printing service providers in more than 150 countries. according to 3d hubs, the company’s platform solves the problem of access and efficiency in 3d printing by connecting up to one billion people worldwide to a 3d printer within ten miles of their home. in doing so, they are facilitating a future of local and on-demand manufacturing that can reduce overproduction of plastic products, limit storage requirements and cut transportation costs. we believe in local, community-based creation and on-demand production that solves the current inefficiency of centralized mass production. bram de zwart – ceo and co-founder, 3d hubs. why you should care mckinsey global institute estimates that the global 3d printing market could be worth $230 billion to $550 billion per year by 2025 . 3d printing enables prototypes, components and other goods to be made locally, which – if used responsibly – can reduce the environmental impacts of transport and industrial waste. 3d hubs is accelerating and democratizing this process by opening up the world of 3d printing to more users.",https://www.3dhubs.com/,SDG 9: Industry Innovation and Infrastructure,,9.2 Advanced technologies for sustainable industry,,,,,,,,africa,Growth,Emerging,Yes,Series C,"30,000,000",N/A,,High income,Netherlands,,2013,148,,,,,,Sustainia,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
3E,3E - Renewable energy consulting and software,,http://3e.eu,SDG 13: Climate Action,SDG 12: Responsible Consumption and Production,n/a,,,Direct,energy,,,,,,Nascent,Yes,Seed,"2,838,488",,May/2018,,Belgium,,1999,156,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0,1,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
4NEW,,"The world's first eco-friendly, tangible Waste to Energy blockchain solution",https://4new.io/,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,UK,Unknown,Emerging,,,,N/A,,High income,United Kingdom,,2017,6,,,,,,PositiveBlockchain,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
3F BIO,"Produces and supplies food, fuel, and feed by integrated fermentation","3fbio produces and supplies food, fuel, and feed by integrated fermentation. The company develops and commercializes a patented technology which transforms the production process for the meat-free food product, mycoprotein by integrating the production within existing bio-refinery operations producing bio-ethanol and animal feed. The company claims to produce mycoprotein using glucose syrup feedstock in an isolated process and bioethanol is produced through biorefinery operations with DDGS as a co-product. The company was incorporated is based in Glasgow, United Kingdom",https://www.3fbio.com/,SDG 2: Zero Hunger,,2.3 Postharvest Food Preservation,,,,,,,,United Kingdom,Growth,Emerging,Yes,Grant,"28,300,000",3-10M,,High income,United Kingdom,,2015,17,,,,,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,0.5,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
